Participant,Age,Religion,Motivation_subscale,Average_rating
63,54,Christian,Rel_growth,4.166666667
63,54,Christian,Spirit_growth,2.2
63,54,Christian,Seek_life,1
64,50,Christian,Nature_close,4.333333333
64,50,Christian,Sen_seek,2
64,50,Christian,Community,3.666666667
64,50,Christian,Rel_growth,5.666666667
64,50,Christian,Spirit_growth,6
64,50,Christian,Seek_life,2
65,27,Atheist,Nature_close,3.666666667
65,27,Atheist,Sen_seek,3.166666667
65,27,Atheist,Community,4
65,27,Atheist,Rel_growth,2.166666667
65,27,Atheist,Spirit_growth,2.4
65,27,Atheist,Seek_life,2
66,26,Christian,Nature_close,5.333333333
66,26,Christian,Sen_seek,4.166666667
66,26,Christian,Community,3.666666667
66,26,Christian,Rel_growth,4.5
66,26,Christian,Spirit_growth,5.2
66,26,Christian,Seek_life,5.75
67,45,Christian,Nature_close,6
67,45,Christian,Sen_seek,5.166666667
67,45,Christian,Community,3.666666667
67,45,Christian,Rel_growth,4
67,45,Christian,Spirit_growth,5
67,45,Christian,Seek_life,3
68,42,Christian,Nature_close,4.333333333
68,42,Christian,Sen_seek,2.666666667
68,42,Christian,Community,1
68,42,Christian,Rel_growth,4.166666667
68,42,Christian,Spirit_growth,4.2
68,42,Christian,Seek_life,4.5
69,52,Christian,Nature_close,5
69,52,Christian,Sen_seek,4.833333333
69,52,Christian,Community,3.666666667
69,52,Christian,Rel_growth,2.833333333
69,52,Christian,Spirit_growth,3.4
69,52,Christian,Seek_life,2.25
70,25,Christian,Nature_close,3.666666667
70,25,Christian,Sen_seek,4.666666667
70,25,Christian,Community,2.333333333
70,25,Christian,Rel_growth,3
70,25,Christian,Spirit_growth,2
70,25,Christian,Seek_life,1
71,63,Christian,Nature_close,4.333333333
71,63,Christian,Sen_seek,4.333333333
71,63,Christian,Community,2.666666667
71,63,Christian,Rel_growth,3.666666667
71,63,Christian,Spirit_growth,4
71,63,Christian,Seek_life,3
72,51,Christian,Nature_close,6
72,51,Christian,Sen_seek,2
72,51,Christian,Community,1
72,51,Christian,Rel_growth,5.666666667
72,51,Christian,Spirit_growth,6
72,51,Christian,Seek_life,4.5
73,40,Atheist,Nature_close,1.666666667
73,40,Atheist,Sen_seek,4.5
73,40,Atheist,Community,1
73,40,Atheist,Rel_growth,1.333333333
73,40,Atheist,Spirit_growth,1.4
73,40,Atheist,Seek_life,2.25
74,30,Christian,Nature_close,3
74,30,Christian,Sen_seek,4.166666667
74,30,Christian,Community,4.666666667
74,30,Christian,Rel_growth,5.333333333
74,30,Christian,Spirit_growth,5.6
74,30,Christian,Seek_life,5.25
75,36,Christian,Nature_close,4.666666667
75,36,Christian,Sen_seek,2.833333333
75,36,Christian,Community,3.333333333
75,36,Christian,Rel_growth,3.333333333
75,36,Christian,Spirit_growth,3.8
75,36,Christian,Seek_life,1.5
76,21,Christian,Nature_close,3
76,21,Christian,Sen_seek,5.666666667
76,21,Christian,Community,4
76,21,Christian,Rel_growth,1.833333333
76,21,Christian,Spirit_growth,2.8
76,21,Christian,Seek_life,4.75
77,21,Christian,Nature_close,3.927
77,21,Christian,Sen_seek,4
77,21,Christian,Community,2.333333333
77,21,Christian,Rel_growth,2.5
77,21,Christian,Spirit_growth,4.4
77,21,Christian,Seek_life,4.75
78,20,Christian,Nature_close,3.666666667
78,20,Christian,Sen_seek,5.666666667
78,20,Christian,Community,1.666666667
78,20,Christian,Rel_growth,3.333333333
78,20,Christian,Spirit_growth,4.2188
78,20,Christian,Seek_life,3.75
79,34,Christian,Nature_close,3.666666667
79,34,Christian,Sen_seek,3.333333333
79,34,Christian,Community,2.666666667
79,34,Christian,Rel_growth,1.666666667
79,34,Christian,Spirit_growth,2.6
79,34,Christian,Seek_life,1
80,23,Christian,Nature_close,4
80,23,Christian,Sen_seek,3.5
80,23,Christian,Community,1
80,23,Christian,Rel_growth,3.666666667
80,23,Christian,Spirit_growth,4.8
80,23,Christian,Seek_life,3.25
81,22,Atheist,Nature_close,4.333333333
81,22,Atheist,Sen_seek,3.833333333
81,22,Atheist,Community,2
81,22,Atheist,Rel_growth,2.333333333
81,22,Atheist,Spirit_growth,4
81,22,Atheist,Seek_life,3.5
82,19,Christian,Nature_close,4
82,19,Christian,Sen_seek,5.166666667
82,19,Christian,Community,3.666666667
82,19,Christian,Rel_growth,2.833333333
82,19,Christian,Spirit_growth,4.2
82,19,Christian,Seek_life,4.75
83,19,Christian,Nature_close,4.333333333
83,19,Christian,Sen_seek,5.5
83,19,Christian,Community,2.333333333
83,19,Christian,Rel_growth,1.666666667
83,19,Christian,Spirit_growth,3
83,19,Christian,Seek_life,4.25
84,48,Christian,Nature_close,4.666666667
84,48,Christian,Sen_seek,4.833333333
84,48,Christian,Community,2
84,48,Christian,Rel_growth,6
84,48,Christian,Spirit_growth,4.6
84,48,Christian,Seek_life,2
85,40,Christian,Nature_close,4.666666667
85,40,Christian,Sen_seek,4.666666667
85,40,Christian,Community,4
85,40,Christian,Rel_growth,4.666666667
85,40,Christian,Spirit_growth,4.6
85,40,Christian,Seek_life,1.5
86,25,Christian,Nature_close,3.666666667
86,25,Christian,Sen_seek,4.5
86,25,Christian,Community,2.333333333
86,25,Christian,Rel_growth,2.333333333
86,25,Christian,Spirit_growth,4.6
86,25,Christian,Seek_life,5.5
87,55,Christian,Nature_close,3.333333333
87,55,Christian,Sen_seek,4.333333333
87,55,Christian,Community,2.666666667
87,55,Christian,Rel_growth,3.333333333
87,55,Christian,Spirit_growth,2.8
87,55,Christian,Seek_life,4.5
88,60,Christian,Nature_close,5
88,60,Christian,Sen_seek,3
88,60,Christian,Community,3.666666667
88,60,Christian,Rel_growth,4.166666667
88,60,Christian,Spirit_growth,5.4
88,60,Christian,Seek_life,3.25
89,28,Christian,Nature_close,4.666666667
89,28,Christian,Sen_seek,4.666666667
89,28,Christian,Community,4
89,28,Christian,Rel_growth,3.666666667
89,28,Christian,Spirit_growth,3.4
89,28,Christian,Seek_life,4
90,25,Atheist,Nature_close,4.333333333
90,25,Atheist,Sen_seek,4.166666667
90,25,Atheist,Community,2
90,25,Atheist,Rel_growth,2.519333333
90,25,Atheist,Spirit_growth,3.8
90,25,Atheist,Seek_life,3.5
91,21,Christian,Nature_close,3.666666667
91,21,Christian,Sen_seek,5.166666667
91,21,Christian,Community,3
91,21,Christian,Rel_growth,5.333333333
91,21,Christian,Spirit_growth,5.4
91,21,Christian,Seek_life,4.25
92,21,Atheist,Nature_close,4
92,21,Atheist,Sen_seek,5.5
92,21,Atheist,Community,1
92,21,Atheist,Rel_growth,1
92,21,Atheist,Spirit_growth,2.4
92,21,Atheist,Seek_life,4.25
93,45,Atheist,Nature_close,4.333333333
93,45,Atheist,Sen_seek,6
93,45,Atheist,Community,2
93,45,Atheist,Rel_growth,1.833333333
93,45,Atheist,Spirit_growth,5.2
93,45,Atheist,Seek_life,3.5
94,36,Christian,Nature_close,4
94,36,Christian,Sen_seek,2
94,36,Christian,Community,1.666666667
94,36,Christian,Rel_growth,4.833333333
94,36,Christian,Spirit_growth,4.6
94,36,Christian,Seek_life,5.75
95,21,Christian,Nature_close,3.666666667
95,21,Christian,Sen_seek,5.666666667
95,21,Christian,Community,2.333333333
95,21,Christian,Rel_growth,1.333333333
95,21,Christian,Spirit_growth,3
95,21,Christian,Seek_life,3
96,20,Christian,Nature_close,5
96,20,Christian,Sen_seek,4.333333333
96,20,Christian,Community,1
96,20,Christian,Rel_growth,3.666666667
96,20,Christian,Spirit_growth,3.2
96,20,Christian,Seek_life,3
97,70,Christian,Nature_close,2.333333333
97,70,Christian,Sen_seek,4.333333333
97,70,Christian,Community,1
97,70,Christian,Rel_growth,4.5
97,70,Christian,Spirit_growth,3.2
97,70,Christian,Seek_life,1
98,36,Christian,Nature_close,5
98,36,Christian,Sen_seek,6
98,36,Christian,Community,1.333333333
98,36,Christian,Rel_growth,1.5
98,36,Christian,Spirit_growth,4
98,36,Christian,Seek_life,2.25
99,59,Christian,Nature_close,5
99,59,Christian,Sen_seek,3.333333333
99,59,Christian,Community,4
99,59,Christian,Rel_growth,5.666666667
99,59,Christian,Spirit_growth,5.5494
99,59,Christian,Seek_life,4.5
100,40,Christian,Nature_close,6
100,40,Christian,Sen_seek,5.333333333
100,40,Christian,Community,3.333333333
100,40,Christian,Rel_growth,5.5
100,40,Christian,Spirit_growth,4.8
100,40,Christian,Seek_life,4.13975
102,28,Christian,Nature_close,6
102,28,Christian,Sen_seek,2.833333333
102,28,Christian,Community,1.666666667
102,28,Christian,Rel_growth,4.166666667
102,28,Christian,Spirit_growth,5
102,28,Christian,Seek_life,4
103,26,Christian,Nature_close,5.333333333
103,26,Christian,Sen_seek,5.333333333
103,26,Christian,Community,1
103,26,Christian,Rel_growth,3
103,26,Christian,Spirit_growth,3.6
103,26,Christian,Seek_life,2.5
104,53,Atheist,Nature_close,5
104,53,Atheist,Sen_seek,4.333333333
104,53,Atheist,Community,4.28
104,53,Atheist,Rel_growth,1.666666667
104,53,Atheist,Spirit_growth,3.2
104,53,Atheist,Seek_life,2.75
105,20,Christian,Nature_close,4.666666667
105,20,Christian,Sen_seek,4
105,20,Christian,Community,4.666666667
105,20,Christian,Rel_growth,4.666666667
105,20,Christian,Spirit_growth,5
105,20,Christian,Seek_life,2.5
106,30,Christian,Nature_close,4.333333333
106,30,Christian,Sen_seek,3.333333333
106,30,Christian,Community,2.586333333
106,30,Christian,Rel_growth,2.666666667
106,30,Christian,Spirit_growth,3.6
106,30,Christian,Seek_life,2.25
107,27,Christian,Nature_close,5.666666667
107,27,Christian,Sen_seek,5
107,27,Christian,Community,2
107,27,Christian,Rel_growth,3.833333333
107,27,Christian,Spirit_growth,5.8
107,27,Christian,Seek_life,4.75
108,28,Christian,Nature_close,5
108,28,Christian,Sen_seek,4.5
108,28,Christian,Community,2.666666667
108,28,Christian,Rel_growth,2.833333333
108,28,Christian,Spirit_growth,3
108,28,Christian,Seek_life,1.75
109,47,Christian,Nature_close,3
109,47,Christian,Sen_seek,3
109,47,Christian,Community,4.666666667
109,47,Christian,Rel_growth,1.666666667
109,47,Christian,Spirit_growth,3.1494
109,47,Christian,Seek_life,1
110,65,Christian,Nature_close,4.333333333
110,65,Christian,Sen_seek,4.666666667
110,65,Christian,Community,2
110,65,Christian,Rel_growth,2.166666667
110,65,Christian,Spirit_growth,4.8
110,65,Christian,Seek_life,3.512975
111,43,Christian,Nature_close,1.666666667
111,43,Christian,Sen_seek,3.666666667
111,43,Christian,Community,4.333333333
111,43,Christian,Rel_growth,2.666666667
111,43,Christian,Spirit_growth,2
111,43,Christian,Seek_life,3
112,51,Christian,Nature_close,3.666666667
112,51,Christian,Sen_seek,3.166666667
112,51,Christian,Community,4
112,51,Christian,Rel_growth,5.166666667
112,51,Christian,Spirit_growth,4.4
112,51,Christian,Seek_life,2.25
113,47,Christian,Nature_close,6
113,47,Christian,Sen_seek,4
113,47,Christian,Community,4.666666667
113,47,Christian,Rel_growth,4.833333333
113,47,Christian,Spirit_growth,3.4
113,47,Christian,Seek_life,2.5
114,45,Christian,Nature_close,4.333333333
114,45,Christian,Sen_seek,4.666666667
114,45,Christian,Community,2.666666667
114,45,Christian,Rel_growth,4.166666667
114,45,Christian,Spirit_growth,5.6
114,45,Christian,Seek_life,5.5
115,37,Christian,Nature_close,5.666666667
115,37,Christian,Sen_seek,5.666666667
115,37,Christian,Community,4.666666667
115,37,Christian,Rel_growth,3.333333333
115,37,Christian,Spirit_growth,3.6
115,37,Christian,Seek_life,1.5
116,32,Christian,Nature_close,3.666666667
116,32,Christian,Sen_seek,3.5
116,32,Christian,Community,4.333333333
116,32,Christian,Rel_growth,1.333333333
116,32,Christian,Spirit_growth,2.4
116,32,Christian,Seek_life,1.25
117,28,Christian,Nature_close,4.333333333
117,28,Christian,Sen_seek,4.666666667
