Participant,Age,Religion,Nature_close,Sen_seek,Community,Rel_growth,Spirit_growth,Seek_life
280,21,Atheist,6,5.666666667,3,2.5,5.6,3.25
281,45,Atheist,3.333333333,5,2.666666667,1,3.2,3.5
282,50,Atheist,4,4.166666667,2.333333333,1,4.2,1.75
284,20,Atheist,4.333333333,4.833333333,2.666666667,1.333333333,4,3.25
285,33,Christian,3.333333333,1.833333333,2.666666667,6,5.6,2.5
287,22,Atheist,4.333333333,4.666666667,1,1,1.7522,2
288,55,Christian,6,4.166666667,3.666666667,2.166666667,1.8,1
289,20,Atheist,4,4,2.666666667,2.833333333,4,3.25
290,20,Christian,3.333333333,4.5,4.666666667,5.166666667,5.4,2.75
291,20,Christian,4,5.5,5.333333333,5.333333333,4.2,4.25
292,20,Christian,3,3.333333333,2,2.666666667,3.6,2.25
293,20,Christian,3.666666667,3.833333333,4,5.333333333,5.6,4.25
294,57,Christian,4,3.166666667,3.666666667,5.666666667,5,3.25
295,18,Atheist,4,5,3.666666667,1.565166667,3.4,2
296,19,Christian,2.333333333,3.833333333,3,2.666666667,2,1.5
297,36,Christian,4.333333333,2.666666667,5,4.833333333,4.4,3
298,41,Christian,2.666666667,1,2.666666667,2,3.4,3.25
299,48,Christian,2.593666667,2.333333333,1.666666667,2.833333333,5.4,6
301,27,Christian,5.333333333,5.833333333,3,3.666666667,5.4,5.75
302,59,Christian,5.333333333,4.5,5,5.666666667,5.2,4
303,33,Christian,6,4.833333333,2.333333333,1.333333333,4.4,2.5
304,32,Christian,5.666666667,5.833333333,4.333333333,1.166666667,3.6,1.75
305,21,Christian,5,5.166666667,4.666666667,2.333333333,3,2
306,16,Christian,1.666666667,4.333333333,4,2,2.4,1
307,38,Christian,5.333333333,4.5,2.333333333,3.5,3.2,2
308,24,Christian,5,4.166666667,5.666666667,5.166666667,5.4,4
309,22,Christian,6,4.333333333,4.333333333,4.833333333,5.2,3.25
310,23,Christian,5.666666667,5.666666667,2.233,6,6,5.75
311,19,Atheist,2.333333333,5.166666667,1,1.166666667,4.8,3
312,31,Christian,3.666666667,4.5,1,3.5,5.6,3.75
313,53,Christian,4.666666667,2.833333333,5.333333333,3.333333333,4,1.75
314,54,Christian,5,2.833333333,5.666666667,2.5,2.4,2
315,40,Christian,5,2.666666667,4,5.833333333,5.6,4.5
316,39,Christian,3,1.666666667,2.666666667,6,5.2,2.75
317,23,Christian,3.333333333,4.5,3,5.833333333,5.2,4.75
318,29,Christian,4,3,4.333333333,5.333333333,5.4,4.5
319,42,Atheist,5,4.833333333,2.666666667,1.5,3.8,5
320,21,Atheist,4.666666667,3.833333333,1.666666667,3.166666667,5.4,4.25
321,35,Christian,3.666666667,5.166666667,3.666666667,4.5,4.6,3.25
322,55,Christian,3.666666667,3.5,2,1.666666667,2,1
323,27,Christian,3.333333333,3.666666667,3.666666667,4.833333333,3.8,4
324,53,Christian,4.333333333,4.166666667,2,3.166666667,2.2,1
325,16,Christian,3.666666667,3.833333333,3,2,4.2,2.5
326,45,Christian,6,3.5,3.666666667,2.833333333,3.8,2
327,32,Christian,2.666666667,4,2.333333333,1.166666667,2.2,1.75
328,22,Christian,3.666666667,4.5,4,4.666666667,5.6,4.5
329,31,Christian,5.333333333,6,4,4.833333333,5.8,4
330,40,Christian,3.666666667,4.333333333,3.333333333,2.5,2.8,1
331,16,Christian,3.666666667,5.666666667,1,1,2.6,1.75
332,67,Christian,4,3.9815,3,2.666666667,2.2,1
333,54,Christian,3.333333333,4.166666667,3,1.833333333,1.2,1
334,16,Atheist,5.666666667,4,3.333333333,1,1.8,1.25
335,40,Christian,4.333333333,2.166666667,2,5,4.4,2.75
336,23,Christian,5.666666667,5,4,1.666666667,3,2.75
337,30,Christian,3.666666667,3.166666667,3,3.166666667,4.2,2
338,42,Christian,6,3.833333333,3,4.333333333,4.6,2.5
339,41,Christian,5.333333333,3.833333333,2.333333333,5,4,1.75
340,61,Christian,4.333333333,2.833333333,1.666666667,3.5,3.6,1.5
341,27,Christian,3.666666667,3,2.333333333,4.5,3.8,5.5
343,54,Christian,5.666666667,4.5,2.333333333,4.833333333,5.6,4
344,29,Christian,5.333333333,4.5,2.666666667,3.333333333,5.8,3.75
345,22,Atheist,4.333333333,4.333333333,2,2.166666667,5.4,2.5
346,35,Christian,4.333333333,4.833333333,3.666666667,3.833333333,5,5
347,63,Christian,4.666666667,1,2.666666667,4.333333333,4.4,2.25
348,36,Christian,5.333333333,3.833333333,2.333333333,4.333333333,6,5
350,30,Christian,4.333333333,3.333333333,5,5.666666667,3.4,2.25
351,31,Christian,4,4.333333333,4,4.833333333,5.2,5
352,25,Atheist,3.666666667,4,1.333333333,1.833333333,4.4,1.25
353,35,Christian,4.333333333,2.833333333,2,4.5,4.8,3
354,65,Christian,2,1.833333333,1,3.666666667,2.8,3
355,62,Christian,3,2.166666667,3,3.5,3.2,1.75
356,19,Atheist,5.666666667,5.166666667,4.333333333,1,5.2,4.75
357,20,Atheist,6,6,1.666666667,1.666666667,4.4,2.75
358,57,Christian,6,3.333333333,1,4.333333333,6,4
359,23,Christian,3.291666667,5.833333333,1,2.333333333,4.6,4.75
360,67,Christian,5,3.166666667,2.666666667,3.833333333,4,1.25
361,32,Christian,5.333333333,5.333333333,3.333333333,4.5,5.2,3.63975
362,33,Christian,5.333333333,4.833333333,3.333333333,3,3.6,3
363,53,Christian,4.333333333,4.5,1.666666667,1.166666667,2.4,2.5
364,57,Christian,4.333333333,2.333333333,3.333333333,5.333333333,5,3.25
365,49,Christian,3.756666667,3,2,4,4.4,2
366,43,Christian,3.333333333,2.448,1,4.166666667,3.8,2
