ACCIDENT_INDEX,ACCIDENT_SEVERITY,SPEED_LIMIT,DAY_OF_WEEK
201497BC00504,Slight,30,Tuesday
201497BC00510,Slight,30,Friday
201497BC00511,Slight,30,Saturday
201497BC00601,Slight,30,Friday
201497BC00602,Slight,30,Tuesday
201497BC00604,Slight,30,Thursday
201497BC00706,Slight,50,Thursday
201497BC00709,Slight,30,Thursday
201497BC00802,Serious,30,Thursday
201497BC00804,Slight,30,Tuesday
201497BC00909,Slight,30,Thursday
201497BC00912,Slight,30,Wednesday
201497BC01005,Slight,30,Saturday
201497BC01007,Slight,30,Monday
201497BC01009,Serious,30,Thursday
201497BC01103,Slight,60,Tuesday
201497BC01108,Slight,30,Monday
201497BC01201,Slight,30,Thursday
201497BC01209,Slight,30,Saturday
201497BC01312,Slight,30,Tuesday
201497BC01401,Slight,40,Friday
201497BC01410,Slight,30,Saturday
201497BC01501,Serious,30,Friday
201497BC01505,Slight,30,Saturday
201497BC01507,Slight,30,Saturday
201497BC01509,Slight,30,Monday
201497BC01602,Serious,30,Friday
201497BC01603,Slight,30,Thursday
201497BC01611,Slight,30,Wednesday
201497BC01703,Serious,30,Friday
201497BC01811,Slight,30,Friday
201497BC01901,Slight,30,Tuesday
201497BC01906,Slight,30,Wednesday
201497BC02011,Serious,50,Tuesday
201497BC02102,Slight,30,Saturday
201497BC02212,Slight,30,Saturday
201497BC02309,Slight,30,Tuesday
201497BC02409,Slight,30,Tuesday
201497BC70102,Serious,30,Friday
201497BC70103,Slight,30,Saturday
201497BC70105,Slight,30,Friday
201497BC70107,Slight,30,Friday
201497BC70110,Slight,30,Wednesday
201497BC70112,Slight,50,Monday
201497BC70206,Slight,30,Monday
201497BC70208,Slight,30,Friday
201497BC70209,Slight,30,Wednesday
201497BC70308,Slight,30,Tuesday
201497BC70309,Slight,30,Thursday
201497BC70311,Slight,40,Friday
201497BC70407,Serious,30,Friday
201497BC70411,Slight,30,Wednesday
201497BC70504,Slight,30,Saturday
201497BD00101,Slight,30,Wednesday
201497BD00111,Slight,30,Sunday
201497BD00209,Slight,30,Thursday
201497BD00402,Slight,30,Sunday
201497BD00405,Slight,30,Wednesday
201497BD00408,Slight,40,Tuesday
201497BD00410,Slight,30,Monday
201497BD00503,Serious,30,Thursday
201497BD00510,Serious,30,Monday
201497BD00606,Slight,30,Sunday
201497BD00611,Slight,30,Wednesday
201497BD00612,Serious,30,Friday
201497BD00703,Slight,30,Monday
201497BD00704,Slight,40,Monday
201497BD00705,Slight,30,Friday
201497BD00707,Slight,30,Monday
201497BD00708,Slight,40,Sunday
201497BD00711,Slight,30,Monday
201497BD00803,Slight,30,Monday
201497BD00809,Slight,70,Wednesday
201497BD00811,Serious,30,Monday
201497BD00812,Slight,30,Thursday
201497BD00902,Slight,30,Friday
201497BD00906,Slight,30,Friday
201497BD01001,Slight,40,Friday
201497BD01002,Slight,30,Friday
201497BD01008,Slight,30,Sunday
201497BD01109,Slight,30,Friday
201497BD01110,Serious,30,Friday
201497BD01111,Serious,30,Thursday
201497BD01206,Slight,30,Wednesday
201497BD01212,Slight,30,Monday
201497BD01303,Slight,40,Friday
201497BD01311,Slight,30,Wednesday
201497BD01402,Serious,30,Saturday
201497BD01403,Slight,30,Sunday
201497BD01410,Slight,20,Wednesday
201497BD01510,Slight,70,Thursday
201497BD01512,Slight,30,Monday
201497BD01608,Slight,30,Thursday
201497BD01612,Slight,30,Sunday
201497BD01807,Slight,30,Tuesday
201497BD01809,Slight,30,Tuesday
201497BD01810,Slight,30,Tuesday
201497BD01901,Slight,30,Tuesday
201497BD01907,Slight,40,Tuesday
201497BD02007,Slight,40,Wednesday
201497BD02101,Slight,40,Friday
201497BD02107,Slight,30,Thursday
201497BD02110,Slight,30,Tuesday
201497BD02203,Slight,30,Friday
201497BD03011,Slight,30,Monday
201497BD20103,Slight,30,Saturday
201497BD20105,Slight,30,Monday
201497BD20108,Slight,30,Saturday
201497BD20109,Slight,30,Monday
201497BD20111,Slight,30,Sunday
201497BD20112,Slight,70,Wednesday
201497BD20203,Serious,60,Saturday
201497BD20205,Slight,40,Wednesday
201497BD20301,Slight,30,Monday
201497BD20303,Slight,30,Wednesday
201497BD20401,Slight,30,Thursday
201497BD20402,Slight,30,Friday
201497BD20404,Slight,30,Wednesday
201497BD20406,Slight,20,Tuesday
201497BD20410,Slight,40,Sunday
201497BD20503,Slight,70,Tuesday
201497BD20506,Slight,30,Thursday
201497BD20508,Slight,30,Wednesday
201497BD20510,Slight,30,Monday
201497BD20601,Slight,30,Monday
201497BD20602,Slight,30,Friday
201497BD20603,Slight,30,Friday
201497BD20606,Slight,30,Saturday
201497BD20607,Serious,30,Friday
201497BD20608,Slight,30,Tuesday
201497BD20611,Slight,30,Monday
201497BD20701,Fatal,30,Monday
201497BD20703,Slight,30,Sunday
201497BD20706,Serious,30,Friday
201497BD20710,Slight,30,Tuesday
201497BD20802,Slight,30,Friday
201497BD20804,Slight,30,Wednesday
201497BD20809,Slight,30,Thursday
201497BD20812,Slight,30,Monday
201497BD20901,Slight,30,Wednesday
201497BD20903,Serious,40,Wednesday
201497BD20906,Slight,30,Monday
201497BD20908,Slight,30,Thursday
201497BD20909,Slight,30,Saturday
201497BD20912,Slight,30,Tuesday
201497BD21001,Slight,30,Wednesday
201497BD21007,Slight,30,Saturday
201497BD21008,Slight,30,Tuesday
201497BD21012,Slight,30,Tuesday
201497BD21107,Slight,70,Wednesday
201497BD21602,Slight,30,Friday
201497BD21608,Slight,30,Sunday
201497BD70101,Slight,30,Friday
201497BD70102,Slight,70,Tuesday
201497BD70103,Slight,70,Thursday
201497BD70104,Slight,70,Wednesday
201497BD70105,Slight,40,Friday
201497BD70111,Slight,70,Tuesday
201497BD70112,Fatal,30,Saturday
201497BD70203,Slight,30,Thursday
201497BD70206,Slight,70,Tuesday
201497BD70209,Slight,30,Tuesday
201497BD70210,Slight,60,Monday
201497BD70212,Serious,30,Saturday
201497BD70301,Serious,30,Friday
201497BD70302,Slight,60,Wednesday
201497BD70305,Slight,70,Monday
201497BD70306,Slight,70,Tuesday
201497BD70309,Serious,40,Saturday
201497BD70310,Slight,70,Sunday
201497BD70312,Slight,70,Sunday
201497BD70401,Slight,70,Monday
201497BD70405,Slight,70,Tuesday
201497BD70406,Slight,30,Saturday
201497BD70501,Slight,30,Tuesday
201497BD70601,Slight,60,Wednesday
201497BD70705,Slight,70,Wednesday
201497BD70801,Slight,60,Friday
201497BD70805,Slight,70,Friday
201497BD70902,Serious,70,Wednesday
201497BE00101,Slight,30,Thursday
201497BE00107,Slight,30,Saturday
201497BE00110,Slight,30,Friday
201497BE00112,Slight,30,Wednesday
201497BE00203,Slight,30,Monday
201497BE00210,Serious,30,Wednesday
201497BE00305,Slight,30,Thursday
